branch_id,branch_name,branch_type,province,district,address,postal_code,phone,open_date,latitude,longitude,is_active
BR0001,สาขา ลาดพร้าว,Standard,กรุงเทพมหานคร,ลาดพร้าว,160 ถนนอุ่นอก,52850,0955302476,1999-06-23,13.752566,100.795219,True
BR0002,สาขา บางกะปิ,Standard,กรุงเทพมหานคร,บางกะปิ,909/0 ถนนเวียงจันทึก,35040,0644026933,2019-08-31,13.793251,100.497962,True
BR0003,สาขา ปทุมวัน,Mini,กรุงเทพมหานคร,ปทุมวัน,16 หมู่ 27 ถ.ศรีธนะเวทย์,89550,0933210901,2022-02-04,13.608353,100.580212,True
BR0004,สาขา สาทร,Standard,กรุงเทพมหานคร,สาทร,71 หมู่ 72 ถนนแหยมศิริ,71730,0969468514,2021-02-18,13.782137,100.727217,True
BR0005,สาขา บางรัก,Standard,กรุงเทพมหานคร,บางรัก,33 หมู่ 8 ถนนนิลสุวรรณ์,17130,0843643462,2000-10-06,13.926891,100.794276,True
BR0006,สาขา ราชเทวี,Mini,กรุงเทพมหานคร,ราชเทวี,3/9 ถ.ถนัดรักษา,25670,0880211347,2018-01-18,13.890397,100.875902,True
BR0007,สาขา บางนา,Flagship,กรุงเทพมหานคร,บางนา,79 ซ.นาคพันธุ์,13850,0961061330,2015-09-15,13.839913,100.794616,True
BR0008,สาขา บางกะปิ,Standard,กรุงเทพมหานคร,บางกะปิ,52/08 ถนนตระกูลบุญ,42410,0848938885,1996-08-01,13.515623,100.368564,True
BR0009,สาขา ห้วยขวาง,Mini,กรุงเทพมหานคร,ห้วยขวาง,75 ถ.ดาวกระจาย,20710,0972425618,2013-02-08,13.651636,100.728248,True
BR0010,สาขา มีนบุรี,Standard,กรุงเทพมหานคร,มีนบุรี,5/6 ถ.ธูปหอม,62490,0923542344,2018-12-22,13.589474,100.762503,True
BR0011,สาขา คลองเตย,Mini,กรุงเทพมหานคร,คลองเตย,828/36 ถนนวะคีมัน,43750,0843313171,1999-10-07,13.723095,100.442672,True
BR0012,สาขา จตุจักร,Mini,กรุงเทพมหานคร,จตุจักร,882/3 ถ.ดำริห์ชอบ,90870,0679907118,2022-09-21,13.687068,100.479186,True
BR0013,สาขา สาทร,Standard,กรุงเทพมหานคร,สาทร,86 หมู่ 83 ถนนดาตู,37150,0644996907,2016-04-16,13.746935,100.78682,True
BR0014,สาขา ภาษีเจริญ,Mini,กรุงเทพมหานคร,ภาษีเจริญ,240/32 ถนนดาวอร่าม,77790,0941283435,2023-09-15,13.85403,100.886534,True
BR0015,สาขา สาทร,Mini,กรุงเทพมหานคร,สาทร,9 ถ.ธูปะวิโรจน์,44770,0980549614,2023-07-25,13.776914,100.349873,True
BR0016,สาขา สวนหลวง,Standard,กรุงเทพมหานคร,สวนหลวง,703/88 ถนนตันเผ่า,37800,0682930160,2005-09-08,13.9702,100.826044,True
BR0017,สาขา ปทุมวัน,Standard,กรุงเทพมหานคร,ปทุมวัน,08 หมู่ 6 ถนนพีระเพ็ญกุล,68780,0681803026,1999-12-30,13.92832,100.89195,True
BR0018,สาขา ดอนเมือง,Standard,กรุงเทพมหานคร,ดอนเมือง,71 ถ.ถนอมพล,34410,0669540515,1996-02-19,13.749558,100.81851,True
BR0019,สาขา ลาดพร้าว,Standard,กรุงเทพมหานคร,ลาดพร้าว,438/2 ถนนเนื้อนุ่ม,94530,0661588974,2004-12-03,13.791186,100.790601,True
BR0020,สาขา ราชเทวี,Standard,กรุงเทพมหานคร,ราชเทวี,01 หมู่ 7 ถ.นฤภัย,94630,0868857664,2014-04-28,13.543728,100.567138,True
BR0021,สาขา จตุจักร,Mini,กรุงเทพมหานคร,จตุจักร,589/29 ถนนถนอมกุลบุตร,81630,0986409600,2013-09-23,13.657444,100.51191,True
BR0022,สาขา ปทุมวัน,Mini,กรุงเทพมหานคร,ปทุมวัน,8 ถนนแน่นดุจป้อม,61620,0845092263,1999-09-30,13.576656,100.714914,True
BR0023,สาขา ภาษีเจริญ,Standard,กรุงเทพมหานคร,ภาษีเจริญ,792/2 ถนนเนื้อนุ่ม,59350,0646168863,2008-09-25,13.632301,100.766294,True
BR0024,สาขา สวนหลวง,Standard,กรุงเทพมหานคร,สวนหลวง,95 หมู่ 88 ถ.ไทไชโย,27040,0631066791,2008-07-30,13.520128,100.746228,True
BR0025,สาขา คลองเตย,Standard,กรุงเทพมหานคร,คลองเตย,773 ถนนตวงทอง,89020,0842454976,2010-07-25,13.775691,100.334587,True
BR0026,สาขา บางกะปิ,Standard,กรุงเทพมหานคร,บางกะปิ,9/1 ถนนถนิมมาศ,89670,0899634102,2011-03-01,13.944084,100.358335,True
BR0027,สาขา บางนา,Standard,กรุงเทพมหานคร,บางนา,47 ถนนตันยา,31400,0862337597,2013-11-24,13.730564,100.355979,True
BR0028,สาขา วัฒนา,Flagship,กรุงเทพมหานคร,วัฒนา,227/42 ถ.เนตร์มณี,66310,0875558236,2011-11-29,13.852083,100.838972,True
BR0029,สาขา มีนบุรี,Standard,กรุงเทพมหานคร,มีนบุรี,992/4 ถนนพรรษาสกุล,48540,0623083022,1997-11-18,13.810759,100.622612,True
BR0030,สาขา บางนา,Flagship,กรุงเทพมหานคร,บางนา,59/8 ถ.ชำนาญวาด,18310,0947229430,2001-08-13,13.957571,100.863964,True
