response_id,campaign_id,customer_id,response_date,channel,outcome,converted,conversion_value_thb
CRS00000001,CMP0002,CUS0008375,2024-03-17,Email,No Response,False,0.0
CRS00000002,CMP0024,CUS0007676,2024-09-29,Mobile App,Converted,True,195820.65
CRS00000003,CMP0022,CUS0001503,2025-05-29,LINE OA,No Response,False,0.0
CRS00000004,CMP0014,CUS0006193,2024-10-23,SMS,Not Interested,False,0.0
CRS00000005,CMP0030,CUS0009926,2024-07-10,Outbound Call,Converted,True,96722.01
CRS00000006,CMP0024,CUS0006540,2024-12-27,Outbound Call,Not Interested,False,0.0
CRS00000007,CMP0007,CUS0004780,2026-04-07,SMS,Converted,True,77532.32
CRS00000008,CMP0009,CUS0003026,2025-04-18,Email,Interested,False,0.0
CRS00000009,CMP0029,CUS0008161,2024-10-21,Outbound Call,No Response,False,0.0
CRS00000010,CMP0008,CUS0007233,2026-03-28,Mobile App,Converted,True,110324.68
CRS00000011,CMP0021,CUS0008096,2024-08-27,Outbound Call,Converted,True,91095.1
CRS00000012,CMP0012,CUS0009356,2025-01-31,Email,No Response,False,0.0
CRS00000013,CMP0018,CUS0008125,2026-02-24,LINE OA,Not Interested,False,0.0
CRS00000014,CMP0012,CUS0006529,2025-08-15,Email,Opted Out,False,0.0
CRS00000015,CMP0002,CUS0001542,2024-11-18,Branch,No Response,False,0.0
CRS00000016,CMP0009,CUS0007234,2026-04-26,SMS,No Response,False,0.0
CRS00000017,CMP0017,CUS0000473,2025-02-22,LINE OA,Not Interested,False,0.0
CRS00000018,CMP0026,CUS0009444,2024-03-14,Outbound Call,No Response,False,0.0
CRS00000019,CMP0003,CUS0008701,2024-02-24,Mobile App,No Response,False,0.0
CRS00000020,CMP0017,CUS0001512,2024-06-04,Mobile App,No Response,False,0.0
CRS00000021,CMP0005,CUS0001557,2026-02-15,Outbound Call,No Response,False,0.0
CRS00000022,CMP0007,CUS0008932,2025-10-10,Branch,Converted,True,49760.73
CRS00000023,CMP0006,CUS0006593,2025-03-17,Email,No Response,False,0.0
CRS00000024,CMP0020,CUS0004886,2024-07-18,Email,Converted,True,15095.56
CRS00000025,CMP0019,CUS0000543,2025-03-25,Email,Not Interested,False,0.0
CRS00000026,CMP0028,CUS0007020,2025-09-14,SMS,Opted Out,False,0.0
CRS00000027,CMP0026,CUS0005734,2025-05-15,Branch,Not Interested,False,0.0
CRS00000028,CMP0001,CUS0004944,2024-04-28,Outbound Call,Interested,False,0.0
CRS00000029,CMP0003,CUS0008655,2024-07-17,Email,Not Interested,False,0.0
CRS00000030,CMP0011,CUS0000206,2025-03-20,Email,No Response,False,0.0
CRS00000031,CMP0017,CUS0002428,2025-02-01,LINE OA,Opted Out,False,0.0
CRS00000032,CMP0025,CUS0006415,2024-09-16,Outbound Call,Interested,False,0.0
CRS00000033,CMP0028,CUS0004437,2026-03-30,LINE OA,No Response,False,0.0
CRS00000034,CMP0024,CUS0005066,2025-01-03,Outbound Call,Interested,False,0.0
CRS00000035,CMP0024,CUS0004103,2025-05-09,Mobile App,No Response,False,0.0
CRS00000036,CMP0007,CUS0008643,2025-12-06,Branch,Opted Out,False,0.0
CRS00000037,CMP0009,CUS0003373,2024-02-10,Mobile App,No Response,False,0.0
CRS00000038,CMP0008,CUS0002032,2024-01-06,Email,Opted Out,False,0.0
CRS00000039,CMP0029,CUS0004616,2025-11-01,Email,No Response,False,0.0
CRS00000040,CMP0013,CUS0003961,2024-05-14,Branch,No Response,False,0.0
CRS00000041,CMP0011,CUS0003739,2026-02-27,Outbound Call,No Response,False,0.0
CRS00000042,CMP0019,CUS0004554,2025-01-12,Email,Not Interested,False,0.0
CRS00000043,CMP0019,CUS0009590,2024-09-27,SMS,Opted Out,False,0.0
CRS00000044,CMP0025,CUS0008789,2024-09-17,Outbound Call,No Response,False,0.0
CRS00000045,CMP0020,CUS0008405,2024-02-08,Email,Not Interested,False,0.0
CRS00000046,CMP0015,CUS0003998,2026-02-01,Mobile App,No Response,False,0.0
CRS00000047,CMP0022,CUS0008628,2025-03-08,Email,Converted,True,75924.05
CRS00000048,CMP0023,CUS0005618,2024-04-07,SMS,Not Interested,False,0.0
CRS00000049,CMP0002,CUS0004861,2024-03-28,Branch,Interested,False,0.0
CRS00000050,CMP0015,CUS0002493,2025-01-02,SMS,Interested,False,0.0
CRS00000051,CMP0021,CUS0004544,2024-03-07,Outbound Call,Not Interested,False,0.0
CRS00000052,CMP0002,CUS0002980,2024-10-08,Branch,No Response,False,0.0
CRS00000053,CMP0025,CUS0007336,2025-06-06,Branch,Interested,False,0.0
CRS00000054,CMP0027,CUS0008046,2026-04-09,Email,Interested,False,0.0
CRS00000055,CMP0009,CUS0001442,2025-01-03,Branch,Converted,True,39287.27
CRS00000056,CMP0029,CUS0006444,2024-01-17,Branch,Opted Out,False,0.0
CRS00000057,CMP0007,CUS0006337,2025-10-30,LINE OA,Opted Out,False,0.0
CRS00000058,CMP0026,CUS0009031,2025-08-01,Branch,Interested,False,0.0
CRS00000059,CMP0024,CUS0009616,2024-02-26,SMS,Not Interested,False,0.0
CRS00000060,CMP0004,CUS0007499,2024-09-16,LINE OA,No Response,False,0.0
