history_id,customer_id,segment_id,valid_from,valid_to,is_current
CSH0000001,CUS0000001,SEG-PRIV,2019-06-04,,True
CSH0000002,CUS0000002,SEG-AFFL,2024-10-23,,True
CSH0000003,CUS0000003,SEG-MAFF,2023-05-23,,True
CSH0000004,CUS0000004,SEG-MAFF,2022-02-03,,True
CSH0000005,CUS0000005,SEG-MAFF,2020-10-31,,True
CSH0000006,CUS0000006,SEG-MAFF,2025-05-21,,True
CSH0000007,CUS0000007,SEG-MAFF,2024-11-30,,True
CSH0000008,CUS0000008,SEG-MASS,2020-02-01,,True
CSH0000009,CUS0000009,SEG-SME,2018-09-04,,True
CSH0000010,CUS0000010,SEG-MAFF,2022-10-27,,True
CSH0000011,CUS0000011,SEG-MASS,2026-01-23,,True
CSH0000012,CUS0000012,SEG-MAFF,2025-02-28,,True
CSH0000013,CUS0000013,SEG-PRIV,2018-02-07,,True
CSH0000014,CUS0000014,SEG-SME,2019-07-21,,True
CSH0000015,CUS0000015,SEG-MAFF,2019-05-18,,True
CSH0000016,CUS0000016,SEG-AFFL,2025-03-28,,True
CSH0000017,CUS0000017,SEG-PRIV,2021-09-07,,True
CSH0000018,CUS0000018,SEG-MAFF,2021-11-26,,True
CSH0000019,CUS0000019,SEG-PRIV,2021-03-17,,True
CSH0000020,CUS0000020,SEG-MAFF,2022-12-09,,True
CSH0000021,CUS0000021,SEG-CORP,2023-12-27,,True
CSH0000022,CUS0000022,SEG-SME,2018-10-04,,True
CSH0000023,CUS0000023,SEG-MAFF,2021-11-21,,True
CSH0000024,CUS0000024,SEG-MAFF,2020-04-30,,True
CSH0000025,CUS0000025,SEG-SME,2025-04-02,,True
CSH0000026,CUS0000026,SEG-CORP,2023-08-25,,True
CSH0000027,CUS0000027,SEG-MASS,2025-09-24,,True
CSH0000028,CUS0000028,SEG-MASS,2024-12-06,,True
CSH0000029,CUS0000029,SEG-MAFF,2023-04-13,,True
CSH0000030,CUS0000030,SEG-SME,2018-08-17,,True
CSH0000031,CUS0000031,SEG-MAFF,2022-08-01,,True
CSH0000032,CUS0000032,SEG-MASS,2025-09-25,,True
CSH0000033,CUS0000033,SEG-SME,2025-06-04,,True
CSH0000034,CUS0000034,SEG-MASS,2019-09-08,,True
CSH0000035,CUS0000035,SEG-SME,2021-03-07,,True
CSH0000036,CUS0000036,SEG-MAFF,2018-09-09,,True
CSH0000037,CUS0000037,SEG-MAFF,2026-03-31,,True
CSH0000038,CUS0000038,SEG-AFFL,2018-10-22,,True
CSH0000039,CUS0000039,SEG-MAFF,2021-09-20,,True
CSH0000040,CUS0000040,SEG-CORP,2023-08-19,,True
CSH0000041,CUS0000041,SEG-MASS,2019-10-20,,True
