fd_id,customer_id,product_id,branch_id,principal_thb,interest_rate_pct,term_months,start_date,maturity_date,auto_rollover,status
FD0000001,CUS0007743,PRD-FD01,BR0024,2218499.95,3.27,6,2026-01-24,2026-07-23,True,Active
FD0000002,CUS0007398,PRD-FD01,BR0004,369126.6,2.14,6,2024-02-19,2024-08-17,True,Active
FD0000003,CUS0001171,PRD-FD02,BR0006,2929713.23,1.96,12,2022-09-15,2023-09-10,True,Active
FD0000004,CUS0004209,PRD-FD02,BR0048,832637.2,2.75,12,2023-12-27,2024-12-21,True,Active
FD0000005,CUS0004367,PRD-FD03,BR0042,604120.68,2.52,24,2022-05-04,2024-04-23,True,Active
FD0000006,CUS0008275,PRD-FD03,BR0027,1462404.34,2.56,24,2024-02-21,2026-02-10,True,Active
FD0000007,CUS0005467,PRD-FD03,BR0038,1657788.33,2.44,24,2022-02-12,2024-02-02,True,Matured
FD0000008,CUS0005507,PRD-FD02,BR0004,3455868.13,1.35,12,2024-12-19,2025-12-14,True,Active
FD0000009,CUS0001736,PRD-FD03,BR0040,4508504.35,1.41,24,2024-05-29,2026-05-19,False,Active
FD0000010,CUS0005968,PRD-FD01,BR0030,3957609.57,1.79,6,2026-04-26,2026-10-23,False,Matured
FD0000011,CUS0007512,PRD-FD03,BR0011,3289956.26,1.92,24,2024-07-23,2026-07-13,True,Active
FD0000012,CUS0006817,PRD-FD01,BR0010,1650578.25,2.67,6,2024-01-31,2024-07-29,False,Active
FD0000013,CUS0009903,PRD-FD02,BR0021,4566880.55,3.3,12,2024-07-24,2025-07-19,True,Active
FD0000014,CUS0003230,PRD-FD02,BR0029,3940304.0,2.64,12,2022-03-26,2023-03-21,False,Matured
FD0000015,CUS0001369,PRD-FD03,BR0014,4025686.68,2.63,24,2024-12-15,2026-12-05,True,Active
FD0000016,CUS0000161,PRD-FD03,BR0014,1509097.54,1.7,24,2025-05-10,2027-04-30,True,Active
FD0000017,CUS0004567,PRD-FD02,BR0014,779968.47,1.41,12,2025-05-23,2026-05-18,True,Matured
FD0000018,CUS0004944,PRD-FD02,BR0046,103131.77,1.74,12,2025-01-06,2026-01-01,True,Active
FD0000019,CUS0004710,PRD-FD02,BR0032,4308636.98,2.63,12,2024-01-28,2025-01-22,False,Active
FD0000020,CUS0001491,PRD-FD01,BR0040,3644621.55,1.98,6,2025-12-31,2026-06-29,False,Matured
FD0000021,CUS0005594,PRD-FD02,BR0003,295765.86,3.08,12,2025-10-30,2026-10-25,True,Matured
FD0000022,CUS0007329,PRD-FD01,BR0038,2752862.9,2.5,6,2025-06-26,2025-12-23,True,Active
FD0000023,CUS0009618,PRD-FD02,BR0003,297211.55,1.32,12,2022-10-21,2023-10-16,False,Active
FD0000024,CUS0005892,PRD-FD01,BR0033,794019.24,2.57,6,2022-01-16,2022-07-15,False,Active
FD0000025,CUS0004889,PRD-FD02,BR0046,188909.22,1.98,12,2023-06-22,2024-06-16,True,Matured
FD0000026,CUS0001759,PRD-FD03,BR0022,421714.06,3.25,24,2026-01-06,2027-12-27,False,Active
