holding_id,customer_id,product_id,units_held,average_cost_thb,current_nav_thb,market_value_thb,as_of_date
INV0000001,CUS0007901,PRD-WL01,35528.9539,19.9714,21.9377,779423.53,2026-05-01
INV0000002,CUS0005795,PRD-WL02,43949.7141,25.1729,22.634,994757.83,2026-05-01
INV0000003,CUS0003710,PRD-WL01,44724.8302,6.2938,8.4469,377786.17,2026-05-01
INV0000004,CUS0007588,PRD-WL01,38565.0228,26.0424,22.2494,858048.62,2026-05-01
INV0000005,CUS0003199,PRD-WL01,13267.1371,18.9924,24.9836,331460.85,2026-05-01
INV0000006,CUS0009823,PRD-WL03,23172.3249,24.3561,31.5402,730859.76,2026-05-01
INV0000007,CUS0007122,PRD-WL04,12289.0586,18.3084,23.4006,287571.34,2026-05-01
INV0000008,CUS0006561,PRD-WL02,27427.4044,12.3585,16.4393,450887.33,2026-05-01
INV0000009,CUS0006755,PRD-WL02,27593.3522,11.2696,11.721,323421.68,2026-05-01
INV0000010,CUS0009224,PRD-WL02,30278.7632,17.2054,19.162,580201.66,2026-05-01
INV0000011,CUS0007303,PRD-WL03,774.5827,12.7955,17.7203,13725.84,2026-05-01
INV0000012,CUS0003498,PRD-WL02,20902.1338,23.3687,28.5786,597353.72,2026-05-01
INV0000013,CUS0001790,PRD-WL03,18220.6418,10.032,11.9211,217210.09,2026-05-01
INV0000014,CUS0003610,PRD-WL03,10196.001,13.3896,17.3736,177141.24,2026-05-01
INV0000015,CUS0000415,PRD-WL03,19197.5156,24.1789,23.7492,455925.64,2026-05-01
INV0000016,CUS0009497,PRD-WL03,33159.6502,31.2519,27.1106,898978.01,2026-05-01
INV0000017,CUS0000317,PRD-WL01,45530.9584,23.0398,30.6162,1393984.93,2026-05-01
INV0000018,CUS0000580,PRD-WL04,14955.0241,9.9315,8.993,134490.53,2026-05-01
INV0000019,CUS0003885,PRD-WL01,43722.572,13.462,18.615,813895.68,2026-05-01
INV0000020,CUS0004558,PRD-WL04,38384.5763,28.9402,32.811,1259436.33,2026-05-01
INV0000021,CUS0009224,PRD-WL01,20317.1554,6.1155,8.0495,163542.94,2026-05-01
INV0000022,CUS0009650,PRD-WL03,11169.5966,16.0759,16.4535,183778.96,2026-05-01
INV0000023,CUS0006522,PRD-WL01,17982.2498,25.8543,33.6461,605032.57,2026-05-01
INV0000024,CUS0009752,PRD-WL02,44946.7433,18.1715,20.1224,904436.35,2026-05-01
INV0000025,CUS0005039,PRD-WL03,30569.409,22.1762,19.3782,592380.12,2026-05-01
INV0000026,CUS0002695,PRD-WL01,47270.5618,23.6476,28.9859,1370179.78,2026-05-01
INV0000027,CUS0006864,PRD-WL01,45850.6509,9.8985,11.9767,549139.49,2026-05-01
INV0000028,CUS0002063,PRD-WL02,30444.3001,15.8792,20.9879,638961.93,2026-05-01
INV0000029,CUS0001400,PRD-WL01,24656.8319,38.828,32.6229,804377.36,2026-05-01
INV0000030,CUS0000464,PRD-WL02,15703.9888,34.3976,32.9855,518003.92,2026-05-01
INV0000031,CUS0004055,PRD-WL01,36542.3564,20.2219,18.5082,676333.24,2026-05-01
INV0000032,CUS0005589,PRD-WL02,18800.7395,33.343,28.0802,527928.53,2026-05-01
INV0000033,CUS0008210,PRD-WL01,26696.8787,25.2355,27.9125,745176.63,2026-05-01
INV0000034,CUS0004968,PRD-WL03,40748.606,30.3462,33.3437,1358709.29,2026-05-01
INV0000035,CUS0001671,PRD-WL01,20575.6522,14.9576,19.9545,410576.85,2026-05-01
INV0000036,CUS0006373,PRD-WL01,8789.5867,30.5721,33.3983,293557.25,2026-05-01
INV0000037,CUS0004840,PRD-WL01,23804.2888,13.9824,13.0129,309762.83,2026-05-01
INV0000038,CUS0008852,PRD-WL02,3937.5545,27.7403,30.662,120733.3,2026-05-01
INV0000039,CUS0007825,PRD-WL03,46040.8843,11.6417,11.7694,541873.58,2026-05-01
INV0000040,CUS0001278,PRD-WL04,46732.7207,22.5901,23.7029,1107701.01,2026-05-01
INV0000041,CUS0001433,PRD-WL02,28155.5113,30.1916,31.7947,895196.04,2026-05-01
INV0000042,CUS0008301,PRD-WL04,3268.6561,10.9298,10.7654,35188.39,2026-05-01
INV0000043,CUS0004902,PRD-WL04,32569.0068,25.6104,29.6752,966491.79,2026-05-01
INV0000044,CUS0002550,PRD-WL03,42040.8621,23.9143,26.1078,1097594.42,2026-05-01
INV0000045,CUS0007808,PRD-WL02,49894.6441,21.4767,20.2239,1009064.29,2026-05-01
INV0000046,CUS0003551,PRD-WL03,5650.0599,19.8921,26.4122,149230.51,2026-05-01
INV0000047,CUS0002821,PRD-WL03,4083.6927,28.0681,29.601,120881.39,2026-05-01
INV0000048,CUS0004708,PRD-WL01,27026.394,11.6165,16.3499,441878.84,2026-05-01
INV0000049,CUS0005304,PRD-WL01,28638.1824,36.5817,31.9381,914649.13,2026-05-01
INV0000050,CUS0008181,PRD-WL02,20386.3614,14.414,20.2424,412668.88,2026-05-01
INV0000051,CUS0007541,PRD-WL02,35785.1324,15.3351,15.661,560430.96,2026-05-01
INV0000052,CUS0000797,PRD-WL04,32927.4059,25.5489,23.9684,789217.24,2026-05-01
INV0000053,CUS0002852,PRD-WL02,25938.809,10.8803,10.8008,280159.89,2026-05-01
INV0000054,CUS0007178,PRD-WL01,10113.9315,22.3418,23.2239,234884.93,2026-05-01
INV0000055,CUS0008344,PRD-WL02,32140.4003,28.8134,31.1786,1002092.68,2026-05-01
INV0000056,CUS0006495,PRD-WL01,15482.8819,7.1744,9.8016,151757.02,2026-05-01
INV0000057,CUS0003777,PRD-WL01,38110.0861,28.386,30.6126,1166648.82,2026-05-01
INV0000058,CUS0008283,PRD-WL01,32940.7398,9.8304,8.7623,288636.64,2026-05-01
INV0000059,CUS0005073,PRD-WL01,48389.5232,26.1432,22.8615,1106257.08,2026-05-01
INV0000060,CUS0009383,PRD-WL04,18807.8085,13.813,11.6515,219139.18,2026-05-01
INV0000061,CUS0000097,PRD-WL04,366.5701,20.9028,21.6837,7948.6,2026-05-01
INV0000062,CUS0001010,PRD-WL02,12856.8094,17.8162,18.153,233389.66,2026-05-01
INV0000063,CUS0007818,PRD-WL03,23680.6489,7.3854,9.2116,218136.67,2026-05-01
INV0000064,CUS0001598,PRD-WL02,22254.305,16.0794,17.2942,384870.4,2026-05-01
INV0000065,CUS0003716,PRD-WL03,41949.2433,31.6312,32.5882,1367050.33,2026-05-01
INV0000066,CUS0001604,PRD-WL01,48317.3382,9.2016,8.9183,430908.52,2026-05-01
INV0000067,CUS0006983,PRD-WL04,7080.7983,8.9513,11.1968,79282.28,2026-05-01
INV0000068,CUS0004791,PRD-WL04,17461.453,32.0176,28.4156,496177.66,2026-05-01
INV0000069,CUS0004043,PRD-WL04,8367.0644,20.2321,21.6514,181158.66,2026-05-01
INV0000070,CUS0001005,PRD-WL02,4406.5176,24.4622,21.5555,94984.69,2026-05-01
INV0000071,CUS0006191,PRD-WL01,16179.9063,32.3005,33.0432,534635.88,2026-05-01
INV0000072,CUS0000461,PRD-WL03,23883.7525,25.5991,23.5937,563506.09,2026-05-01
INV0000073,CUS0004408,PRD-WL03,4226.4823,31.0261,28.937,122301.72,2026-05-01
INV0000074,CUS0006022,PRD-WL03,25317.4933,18.9552,18.5362,469290.12,2026-05-01
INV0000075,CUS0002846,PRD-WL02,45996.6767,14.7391,17.2651,794137.22,2026-05-01
INV0000076,CUS0000104,PRD-WL02,6775.7082,20.63,25.7938,174771.26,2026-05-01
INV0000077,CUS0003813,PRD-WL01,4450.15,16.5477,19.8411,88295.87,2026-05-01
INV0000078,CUS0007611,PRD-WL01,7165.8739,32.9144,30.0808,215555.22,2026-05-01
INV0000079,CUS0002204,PRD-WL02,1279.4608,23.5558,21.9969,28144.17,2026-05-01
INV0000080,CUS0000969,PRD-WL01,13369.6783,11.9403,16.7415,223828.47,2026-05-01
