kyc_id,customer_id,kyc_tier,risk_rating,pep_flag,last_review,next_review,status
KYC0000001,CUS0000001,Tier1,Low,False,2024-11-17,2027-09-16,Approved
KYC0000002,CUS0000002,Tier1,Medium,False,2024-04-01,2027-09-25,Approved
KYC0000003,CUS0000003,Tier1,Low,False,2025-06-26,2027-05-10,Approved
KYC0000004,CUS0000004,Tier1,Low,False,2026-03-07,2027-06-25,Approved
KYC0000005,CUS0000005,Tier2,Medium,False,2024-08-27,2027-08-27,Approved
KYC0000006,CUS0000006,Tier3,Low,False,2025-08-04,2026-12-18,Approved
KYC0000007,CUS0000007,Tier2,Low,False,2025-09-29,2026-11-01,Approved
KYC0000008,CUS0000008,Tier1,Medium,False,2024-07-13,2027-06-14,Pending
KYC0000009,CUS0000009,Tier1,Medium,False,2024-05-01,2026-05-14,Approved
KYC0000010,CUS0000010,Tier2,Medium,False,2024-04-13,2026-08-25,Approved
KYC0000011,CUS0000011,Tier1,Low,False,2024-02-16,2026-11-29,Approved
KYC0000012,CUS0000012,Tier1,Low,False,2025-12-31,2027-08-16,Approved
KYC0000013,CUS0000013,Tier1,Low,False,2024-01-28,2027-06-18,Approved
KYC0000014,CUS0000014,Tier3,Medium,False,2025-01-28,2026-08-19,Approved
KYC0000015,CUS0000015,Tier1,Medium,False,2024-07-20,2027-03-05,Rejected
KYC0000016,CUS0000016,Tier2,Low,False,2024-07-20,2027-12-12,Approved
KYC0000017,CUS0000017,Tier1,Low,False,2024-09-11,2026-09-09,Approved
KYC0000018,CUS0000018,Tier2,Low,False,2024-12-31,2026-09-17,Approved
KYC0000019,CUS0000019,Tier2,Low,False,2025-07-28,2026-05-13,Approved
KYC0000020,CUS0000020,Tier2,Low,False,2025-03-25,2027-11-10,Approved
KYC0000021,CUS0000021,Tier2,Low,False,2025-09-02,2026-08-09,Approved
KYC0000022,CUS0000022,Tier1,Low,False,2025-01-30,2027-12-24,Pending
KYC0000023,CUS0000023,Tier2,Low,False,2025-03-30,2027-03-31,Approved
KYC0000024,CUS0000024,Tier1,Low,False,2024-08-10,2026-09-05,Approved
KYC0000025,CUS0000025,Tier1,Low,False,2025-07-17,2027-11-28,Approved
KYC0000026,CUS0000026,Tier3,Low,False,2024-10-29,2027-05-16,Approved
KYC0000027,CUS0000027,Tier2,Low,False,2025-03-24,2027-12-13,Approved
KYC0000028,CUS0000028,Tier1,Low,False,2024-05-13,2027-09-12,Approved
KYC0000029,CUS0000029,Tier2,Low,False,2025-08-03,2026-07-18,Approved
KYC0000030,CUS0000030,Tier3,Low,False,2025-03-21,2026-06-06,Approved
KYC0000031,CUS0000031,Tier2,Low,False,2025-12-28,2027-07-19,Approved
KYC0000032,CUS0000032,Tier1,Low,False,2025-03-07,2026-09-08,Approved
KYC0000033,CUS0000033,Tier2,Low,False,2025-07-18,2027-09-01,Approved
KYC0000034,CUS0000034,Tier3,Low,False,2025-09-16,2027-09-12,Approved
KYC0000035,CUS0000035,Tier3,Low,False,2025-10-18,2027-08-08,Approved
KYC0000036,CUS0000036,Tier3,Low,False,2024-06-24,2027-02-11,Approved
KYC0000037,CUS0000037,Tier2,Low,False,2024-05-16,2027-07-12,Approved
KYC0000038,CUS0000038,Tier2,Low,False,2024-06-16,2026-08-01,Approved
KYC0000039,CUS0000039,Tier2,Low,False,2024-09-22,2027-08-22,Approved
KYC0000040,CUS0000040,Tier2,Low,False,2024-02-11,2026-05-22,Approved
KYC0000041,CUS0000041,Tier1,Low,False,2024-04-24,2026-07-26,Approved
KYC0000042,CUS0000042,Tier1,Low,False,2024-03-17,2027-04-30,Approved
KYC0000043,CUS0000043,Tier1,High,False,2024-01-04,2026-05-08,Approved
KYC0000044,CUS0000044,Tier2,Medium,False,2025-07-16,2027-04-18,Approved
KYC0000045,CUS0000045,Tier1,Low,True,2024-07-20,2027-12-21,Approved
KYC0000046,CUS0000046,Tier1,Low,False,2024-09-28,2026-09-27,Approved
KYC0000047,CUS0000047,Tier1,Medium,False,2024-07-15,2026-05-16,Pending
KYC0000048,CUS0000048,Tier2,Low,False,2024-12-30,2026-12-02,Approved
KYC0000049,CUS0000049,Tier1,Low,False,2025-01-01,2026-08-18,Approved
