schedule_id,loan_id,installment_no,due_date,principal_due_thb,interest_due_thb,total_due_thb,paid
LRS00000001,LON0000001,1,2021-11-19,187054.42,80166.18,267220.6,True
LRS00000002,LON0000001,2,2021-12-19,187054.42,80166.18,267220.6,True
LRS00000003,LON0000001,3,2022-01-18,187054.42,80166.18,267220.6,True
LRS00000004,LON0000001,4,2022-02-17,187054.42,80166.18,267220.6,True
LRS00000005,LON0000001,5,2022-03-19,187054.42,80166.18,267220.6,True
LRS00000006,LON0000001,6,2022-04-18,187054.42,80166.18,267220.6,True
LRS00000007,LON0000001,7,2022-05-18,187054.42,80166.18,267220.6,True
LRS00000008,LON0000001,8,2022-06-17,187054.42,80166.18,267220.6,True
LRS00000009,LON0000001,9,2022-07-17,187054.42,80166.18,267220.6,True
LRS00000010,LON0000001,10,2022-08-16,187054.42,80166.18,267220.6,True
LRS00000011,LON0000001,11,2022-09-15,187054.42,80166.18,267220.6,True
LRS00000012,LON0000001,12,2022-10-15,187054.42,80166.18,267220.6,True
LRS00000013,LON0000002,1,2023-11-15,7989.69,3424.16,11413.85,True
LRS00000014,LON0000002,2,2023-12-15,7989.69,3424.16,11413.85,True
LRS00000015,LON0000002,3,2024-01-14,7989.69,3424.16,11413.85,True
LRS00000016,LON0000002,4,2024-02-13,7989.69,3424.16,11413.85,True
LRS00000017,LON0000002,5,2024-03-14,7989.69,3424.16,11413.85,True
LRS00000018,LON0000002,6,2024-04-13,7989.69,3424.16,11413.85,False
LRS00000019,LON0000002,7,2024-05-13,7989.69,3424.16,11413.85,True
LRS00000020,LON0000002,8,2024-06-12,7989.69,3424.16,11413.85,False
LRS00000021,LON0000002,9,2024-07-12,7989.69,3424.16,11413.85,True
LRS00000022,LON0000002,10,2024-08-11,7989.69,3424.16,11413.85,True
LRS00000023,LON0000002,11,2024-09-10,7989.69,3424.16,11413.85,True
LRS00000024,LON0000002,12,2024-10-10,7989.69,3424.16,11413.85,True
LRS00000025,LON0000002,13,2024-11-09,7989.69,3424.16,11413.85,True
LRS00000026,LON0000002,14,2024-12-09,7989.69,3424.16,11413.85,True
LRS00000027,LON0000002,15,2025-01-08,7989.69,3424.16,11413.85,True
LRS00000028,LON0000002,16,2025-02-07,7989.69,3424.16,11413.85,True
LRS00000029,LON0000002,17,2025-03-09,7989.69,3424.16,11413.85,True
LRS00000030,LON0000002,18,2025-04-08,7989.69,3424.16,11413.85,True
LRS00000031,LON0000002,19,2025-05-08,7989.69,3424.16,11413.85,True
LRS00000032,LON0000002,20,2025-06-07,7989.69,3424.16,11413.85,True
LRS00000033,LON0000002,21,2025-07-07,7989.69,3424.16,11413.85,True
LRS00000034,LON0000002,22,2025-08-06,7989.69,3424.16,11413.85,True
LRS00000035,LON0000002,23,2025-09-05,7989.69,3424.16,11413.85,True
LRS00000036,LON0000002,24,2025-10-05,7989.69,3424.16,11413.85,True
LRS00000037,LON0000003,1,2023-01-13,38195.77,16369.62,54565.39,True
LRS00000038,LON0000003,2,2023-02-12,38195.77,16369.62,54565.39,True
LRS00000039,LON0000003,3,2023-03-14,38195.77,16369.62,54565.39,True
LRS00000040,LON0000003,4,2023-04-13,38195.77,16369.62,54565.39,True
LRS00000041,LON0000003,5,2023-05-13,38195.77,16369.62,54565.39,True
