loan_id,customer_id,product_id,branch_id,principal_thb,interest_rate_pct,term_months,start_date,end_date,monthly_payment_thb,outstanding_balance_thb,status
LON0000001,CUS0005689,PRD-LN04,BR0046,2886764.3,19.86,12,2021-10-20,2022-10-15,267220.6,1519864.03,Current
LON0000002,CUS0005545,PRD-LN01,BR0049,1091363.4,11.2,240,2023-10-16,2043-07-03,11413.85,915031.13,Current
LON0000003,CUS0008692,PRD-LN04,BR0038,2221916.77,16.45,60,2022-12-14,2027-11-18,54565.39,1052882.15,Current
LON0000004,CUS0003445,PRD-LN04,BR0013,8928020.58,4.55,60,2020-08-22,2025-07-27,166648.32,6015693.48,Current
LON0000005,CUS0009919,PRD-LN03,BR0041,3279589.3,20.22,360,2022-11-13,2052-06-08,55396.29,1243529.93,Current
LON0000006,CUS0003997,PRD-LN01,BR0001,590936.29,18.24,12,2023-11-12,2024-11-06,54244.55,231464.59,Current
LON0000007,CUS0003582,PRD-LN02,BR0009,400267.97,14.42,60,2026-02-06,2031-01-11,9400.92,349423.03,Current
LON0000008,CUS0009719,PRD-LN01,BR0045,1120109.87,7.61,360,2023-05-07,2052-11-30,7916.51,416360.64,Current
LON0000009,CUS0003570,PRD-LN02,BR0039,538940.58,10.95,48,2022-10-16,2026-09-25,13916.12,117031.27,Current
LON0000010,CUS0003065,PRD-LN02,BR0038,1195842.09,5.86,24,2024-10-15,2026-10-05,52925.05,1016917.88,Current
LON0000011,CUS0006488,PRD-LN02,BR0032,1446667.36,18.7,36,2026-02-02,2029-01-17,52809.9,610126.64,Current
LON0000012,CUS0006277,PRD-LN01,BR0037,105016.94,14.9,48,2020-06-22,2024-06-01,2917.38,84224.18,Current
LON0000013,CUS0004967,PRD-LN02,BR0007,1865043.63,6.8,24,2024-09-07,2026-08-28,83333.82,1121700.81,Current
LON0000014,CUS0000350,PRD-LN03,BR0020,12021551.41,19.61,36,2025-06-24,2028-06-08,444378.65,5045201.79,Current
LON0000015,CUS0006075,PRD-LN02,BR0011,1920968.68,7.92,60,2025-03-31,2030-03-05,38876.81,847220.37,Current
LON0000016,CUS0002593,PRD-LN03,BR0010,4167536.17,8.84,240,2025-10-26,2045-07-13,37068.63,718847.93,Late
LON0000017,CUS0002305,PRD-LN03,BR0040,3787505.86,5.01,36,2025-09-07,2028-08-22,113531.95,3680436.0,Current
LON0000018,CUS0002481,PRD-LN03,BR0045,13596419.32,15.78,360,2023-01-02,2052-07-28,180428.81,10915940.39,Current
LON0000019,CUS0001936,PRD-LN04,BR0047,2829513.77,14.63,180,2020-02-17,2034-11-30,38886.92,298215.56,Late
LON0000020,CUS0003289,PRD-LN04,BR0021,4374085.63,12.69,24,2020-04-05,2022-03-26,207315.67,3471508.93,Late
LON0000021,CUS0004711,PRD-LN02,BR0028,877841.34,14.94,360,2022-09-29,2052-04-24,11057.7,845173.61,Current
LON0000022,CUS0007041,PRD-LN03,BR0002,14083305.52,8.21,36,2021-06-06,2024-05-21,442685.23,10496298.29,Closed
LON0000023,CUS0009415,PRD-LN03,BR0020,6737872.27,7.65,60,2023-06-08,2028-05-12,135493.92,3361893.34,Current
LON0000024,CUS0001881,PRD-LN04,BR0011,1920399.1,13.78,60,2021-11-17,2026-10-22,44465.6,1734980.61,Current
LON0000025,CUS0002727,PRD-LN02,BR0010,327710.73,17.28,24,2020-12-10,2022-11-30,16246.88,237013.62,Current
LON0000026,CUS0009980,PRD-LN01,BR0023,359437.29,5.33,240,2023-08-18,2043-05-05,2438.14,102384.32,Current
LON0000027,CUS0005544,PRD-LN02,BR0022,1655024.69,16.22,24,2020-09-17,2022-09-07,81209.24,709349.62,Current
LON0000028,CUS0009255,PRD-LN04,BR0048,8994025.99,14.09,120,2023-03-27,2033-02-02,140134.15,7969886.3,Closed
LON0000029,CUS0006154,PRD-LN03,BR0006,10569341.99,20.5,48,2022-11-27,2026-11-06,324451.27,8449635.4,Current
LON0000030,CUS0002459,PRD-LN02,BR0006,2302596.49,6.8,84,2021-11-14,2028-10-08,34527.66,2067485.7,Current
LON0000031,CUS0003619,PRD-LN04,BR0032,9946377.19,3.72,240,2025-05-19,2045-02-03,58815.74,1577100.61,Current
LON0000032,CUS0009082,PRD-LN03,BR0004,7427760.63,9.78,240,2023-08-14,2043-05-01,70600.21,3158200.01,Current
LON0000033,CUS0008882,PRD-LN03,BR0016,5342381.8,4.09,84,2022-03-04,2029-01-26,73245.51,2004510.9,Current
LON0000034,CUS0000845,PRD-LN04,BR0013,8771187.86,13.93,180,2020-01-09,2034-10-22,116397.32,8075811.16,Current
LON0000035,CUS0002192,PRD-LN01,BR0042,796497.12,14.61,12,2020-02-10,2021-02-04,71743.99,664899.86,Current
LON0000036,CUS0000631,PRD-LN02,BR0016,861680.34,4.31,360,2025-09-27,2055-04-23,4269.27,822945.03,Current
LON0000037,CUS0005638,PRD-LN01,BR0010,344527.67,10.92,24,2021-03-01,2023-02-19,16044.9,146709.59,Current
LON0000038,CUS0009743,PRD-LN03,BR0008,3173546.5,19.0,120,2022-09-17,2032-07-26,59241.34,889235.49,Current
LON0000039,CUS0005070,PRD-LN01,BR0011,1405282.97,16.84,24,2022-01-10,2023-12-31,69372.38,910815.52,Current
LON0000040,CUS0008445,PRD-LN04,BR0015,5675597.67,21.76,36,2025-04-25,2028-04-09,216049.6,1980901.94,Current
LON0000041,CUS0008746,PRD-LN03,BR0014,12866151.0,18.24,36,2025-07-01,2028-06-15,466692.68,1878844.29,Closed
LON0000042,CUS0007376,PRD-LN02,BR0024,521357.32,8.81,360,2026-01-01,2055-07-28,4123.88,393270.04,Current
LON0000043,CUS0001743,PRD-LN04,BR0013,4592067.46,20.49,84,2023-08-28,2030-07-22,103331.54,889849.53,Current
LON0000044,CUS0000822,PRD-LN01,BR0033,229561.52,11.37,180,2022-09-27,2037-07-10,2662.77,216667.23,Closed
LON0000045,CUS0005073,PRD-LN01,BR0039,573953.16,7.63,24,2026-01-25,2028-01-15,25861.6,501412.27,Current
LON0000046,CUS0005012,PRD-LN02,BR0044,926578.34,21.43,120,2023-05-28,2033-04-05,18793.79,834971.59,Current
LON0000047,CUS0005912,PRD-LN03,BR0013,13047412.79,19.09,60,2023-01-04,2027-12-09,339103.53,9334155.68,Current
LON0000048,CUS0007322,PRD-LN01,BR0050,843165.52,19.26,120,2021-03-01,2031-01-08,15883.12,350702.16,Default
LON0000049,CUS0009387,PRD-LN02,BR0022,461063.49,12.22,12,2023-11-28,2024-11-22,41012.4,59499.32,Current
LON0000050,CUS0005989,PRD-LN02,BR0033,994083.02,10.95,180,2020-05-11,2035-02-22,11267.53,905165.71,Closed
LON0000051,CUS0007175,PRD-LN04,BR0050,8839116.85,17.8,360,2025-08-31,2055-03-27,131770.8,5631345.13,Current
LON0000052,CUS0009249,PRD-LN01,BR0021,1024593.11,9.42,360,2024-10-17,2054-05-13,8555.59,995941.03,Current
LON0000053,CUS0000874,PRD-LN01,BR0044,521709.97,17.54,120,2021-10-01,2031-08-10,9246.49,302464.62,Current
LON0000054,CUS0009115,PRD-LN02,BR0034,318942.81,21.55,84,2022-07-16,2029-06-09,7383.15,123752.13,Current
LON0000055,CUS0000381,PRD-LN02,BR0041,329786.39,5.02,60,2022-08-31,2027-08-05,6226.5,164849.7,Current
LON0000056,CUS0005919,PRD-LN04,BR0004,2358884.96,17.07,48,2025-07-06,2029-06-15,68151.18,2335726.17,Current
LON0000057,CUS0006694,PRD-LN04,BR0039,1637685.2,6.56,12,2022-03-22,2023-03-17,141371.6,712415.85,Late
LON0000058,CUS0002399,PRD-LN01,BR0044,574708.01,19.15,120,2021-02-14,2030-12-24,10784.61,202899.53,Current
LON0000059,CUS0006341,PRD-LN01,BR0026,452589.7,17.45,84,2023-06-06,2030-04-30,9367.11,345208.24,Current
LON0000060,CUS0008705,PRD-LN02,BR0001,1798437.77,19.53,84,2024-07-08,2031-06-02,39429.07,1001380.86,Current
LON0000061,CUS0001826,PRD-LN04,BR0029,533261.98,12.69,84,2024-11-30,2031-10-25,9611.44,67904.85,Current
LON0000062,CUS0009021,PRD-LN01,BR0039,530186.75,15.1,84,2024-10-07,2031-09-01,10260.65,187491.96,Current
LON0000063,CUS0003259,PRD-LN04,BR0008,4008841.33,8.33,360,2022-06-09,2052-01-03,30342.84,2683637.54,Default
LON0000064,CUS0006240,PRD-LN03,BR0017,12141836.62,6.47,24,2026-01-11,2028-01-01,540708.69,9473268.01,Current
LON0000065,CUS0007836,PRD-LN03,BR0046,2064745.71,19.34,84,2022-06-16,2029-05-10,45033.16,1765469.12,Closed
LON0000066,CUS0002276,PRD-LN02,BR0044,2071825.94,13.27,180,2025-10-05,2040-07-18,26582.77,870451.34,Current
LON0000067,CUS0000477,PRD-LN02,BR0009,535876.27,21.16,36,2022-11-30,2025-11-14,20233.22,344919.57,Current
LON0000068,CUS0002663,PRD-LN02,BR0001,886543.55,6.01,240,2024-09-25,2044-06-12,6356.59,676188.24,Current
LON0000069,CUS0004049,PRD-LN03,BR0037,12702608.93,5.85,12,2020-07-07,2021-07-02,1092392.61,4909474.03,Current
LON0000070,CUS0004984,PRD-LN02,BR0034,1535285.29,5.33,24,2024-09-28,2026-09-18,67582.23,358541.52,Current
LON0000071,CUS0008755,PRD-LN01,BR0015,827232.0,11.4,360,2020-10-29,2050-05-25,8128.95,479751.75,Closed
LON0000072,CUS0005185,PRD-LN02,BR0019,2394489.79,20.66,360,2025-02-18,2054-09-14,41313.69,497102.93,Current
LON0000073,CUS0006836,PRD-LN02,BR0006,1578745.49,18.32,180,2023-03-17,2037-12-28,25788.76,272113.91,Current
LON0000074,CUS0008953,PRD-LN03,BR0036,14732125.74,7.84,360,2021-04-05,2050-10-30,106460.46,8561511.52,Current
LON0000075,CUS0008344,PRD-LN01,BR0018,383553.63,3.61,36,2021-06-11,2024-05-26,11257.61,99529.64,Current
LON0000076,CUS0006613,PRD-LN03,BR0037,8637346.39,3.52,120,2020-06-10,2030-04-19,85492.09,3673921.1,Current
LON0000077,CUS0001561,PRD-LN01,BR0012,876806.42,5.71,240,2026-02-27,2045-11-14,6135.91,443158.45,Closed
LON0000078,CUS0009517,PRD-LN01,BR0038,1375717.57,14.24,12,2021-06-30,2022-06-25,123677.12,736525.52,Current
LON0000079,CUS0001370,PRD-LN03,BR0006,9504233.95,12.87,12,2026-02-10,2027-02-05,848312.72,5678751.9,Closed
LON0000080,CUS0007773,PRD-LN03,BR0042,1896142.91,8.3,180,2021-06-26,2036-04-08,18450.44,1419613.68,Current
LON0000081,CUS0002861,PRD-LN02,BR0019,431921.74,8.2,36,2022-03-04,2025-02-16,13574.74,403545.82,Current
LON0000082,CUS0008826,PRD-LN01,BR0013,89273.22,7.52,36,2025-08-10,2028-07-25,2777.77,44649.12,Current
LON0000083,CUS0006583,PRD-LN03,BR0043,7138273.53,17.31,48,2022-08-27,2026-08-06,207121.82,2831549.87,Closed
LON0000084,CUS0002246,PRD-LN02,BR0014,1284139.06,7.0,120,2026-02-25,2036-01-04,14909.94,862383.21,Closed
LON0000085,CUS0008635,PRD-LN04,BR0049,4213205.78,21.52,48,2020-10-31,2024-10-10,131646.11,3993808.83,Current
LON0000086,CUS0003439,PRD-LN04,BR0005,2532179.39,9.03,84,2020-04-15,2027-03-10,40779.0,1736463.51,Current
LON0000087,CUS0001008,PRD-LN01,BR0026,345411.85,5.56,12,2023-01-04,2023-12-30,29658.55,190570.1,Late
LON0000088,CUS0006057,PRD-LN02,BR0020,525711.52,20.42,48,2020-07-10,2024-06-19,16115.47,258061.31,Current
LON0000089,CUS0000863,PRD-LN02,BR0034,1575389.89,13.22,360,2024-01-27,2053-08-22,17698.26,1035653.05,Current
