interaction_id,customer_id,employee_id,branch_id,channel,interaction_type,interaction_at,duration_seconds,notes
INT00000001,CUS0005330,EMP00208,,Call Center,Advisory,2025-05-23T03:56:00,1653,คำสั่งดาวเทียมทดบูดหลบพับแปรงหลังคา 
INT00000002,CUS0001913,,,Internet Banking,Complaint,2025-10-30T02:15:00,1287,วิกิพีเดียดำครูอธิษฐานมัสยิดพนมมือทรัพย์สิน 
INT00000003,CUS0006487,,,LINE OA,Advisory,2025-01-16T01:03:00,1027,ตัวเมียซ่อนสดชื่นแคะรังแกขี้ดินเคารพอาสาหุ้ม 
INT00000004,CUS0004050,EMP00413,BR0008,Branch,Onboarding,2025-02-13T15:44:00,1528,เบียร์ปีจ๋าเพดานตื่น 
INT00000005,CUS0002018,,,LINE OA,Onboarding,2025-05-26T01:13:00,663,ทหารชุมนุมของหวานแกะเดี่ยวตั้งแต่หม้อตอกทด 
INT00000006,CUS0008187,,,LINE OA,Transaction,2025-12-26T20:06:00,1786,บริโภคปูแหย่แข้งดังนี้ทรัพย์สิน 
INT00000007,CUS0001789,,,Mobile App,Inquiry,2025-02-02T17:37:00,920,อายุคำถามองค์นิ่มกตัญญู 
INT00000008,CUS0002162,,,ATM,Transaction,2025-05-01T06:25:00,1032,ฤดูลูกชิ้นน้าควรรถบัสติดรถทัวร์ลูกฟากข้าวเจ้า 
INT00000009,CUS0004365,EMP00235,BR0005,Branch,Transaction,2026-03-28T01:40:00,1768,บูดสนองทอดลืมคาวซอยชุมนุมน้าหลังคา 
INT00000010,CUS0000333,EMP00477,BR0047,Branch,Inquiry,2026-02-16T17:45:00,374,พ่อดูห่อข้าวยันกามแอนดรอยด์ร่มรื่น 
INT00000011,CUS0000978,,,LINE OA,Inquiry,2025-08-16T03:27:00,1128,ซ่อมเบิ่งเสรีภาพกระถางกรดไหลย้อนกับฉีด 
INT00000012,CUS0000447,,,LINE OA,Onboarding,2025-11-09T01:01:00,1080,หน้ากากหรือแก้สัญญาเชื้อโรคดอกไม้จ๋าใบไม้สมองหมด 
INT00000013,CUS0003315,EMP00366,,Call Center,Inquiry,2026-01-21T18:23:00,382,อนุบาลแกะสดรถโดยสารโตกิจกรรมเคยกับ 
INT00000014,CUS0001836,,,Mobile App,Onboarding,2025-07-12T03:15:00,896,แต่เชื้อโรคเมตตาทุกข์นั่ง 
INT00000015,CUS0003379,,,ATM,Onboarding,2026-02-04T17:56:00,1654,อธิษฐานวาดวังเจ็บไข้กำไรพ่อเผื่อลูกซ่อนดอกไม้ 
INT00000016,CUS0008789,,,ATM,Inquiry,2025-10-13T11:43:00,385,ขัดแก่เศษอาหารและแรงงานคนตายหลงกลางคืน 
INT00000017,CUS0007768,,,ATM,Onboarding,2025-07-02T00:53:00,611,ตั้งแต่ตอใดอิสลามยึดก้างประชาธิปไตยแท็กซี่การเมล็ดเคยถึง 
INT00000018,CUS0000684,EMP00277,,Call Center,Advisory,2025-09-03T16:32:00,110,คาวคั่วเชื่อมริมเกาหลี 
INT00000019,CUS0004173,EMP00373,BR0047,Branch,Advisory,2025-10-24T13:34:00,219,ซ่อนหมีสหภาพอุปโภคในขี้ไคลหมอกประชาธิปไตยตอกรสชาติ 
INT00000020,CUS0004784,EMP00128,BR0014,Branch,Complaint,2026-02-02T12:00:00,563,สำนักงานใบไม้ยึดนุ่นโก๋แก่ดึกวัฒนธรรมโรงสีแก่ขนมชั้น 
INT00000021,CUS0001976,EMP00434,BR0007,Branch,Advisory,2025-07-17T08:46:00,683,อวัยวะสีรถบัสแหย่หลังคาที่ทั่วเยาวชน 
INT00000022,CUS0004259,,,Mobile App,Inquiry,2025-03-07T02:51:00,1368,ทวิตเตอร์กระจายเข้ารหัสเคยจะไปพั่งรู้จัก 
INT00000023,CUS0005375,,,ATM,Onboarding,2025-08-02T19:22:00,745,พนมมือกลางเกาหลีกลพักผ่อนลงมือร่าง 
