ticket_id,customer_id,assigned_employee_id,category,channel,priority,status,opened_at,closed_at,subject,csat_score
TCK0000001,CUS0007777,EMP00446,Statement request,Branch,Critical,Resolved,2026-04-22T19:52:00,2026-04-26T02:52:00,[Account closure] อายุควรคลานรู้จักหยอกยูทูบ ,5.0
TCK0000002,CUS0006798,EMP00453,Fraud report,LINE OA,Critical,In Progress,2024-05-02T16:13:00,,[Branch service complaint] ข้างวินโดวส์ใหม่ประสบการณ์ฉีดเสรีนิยมสถานีหมอก ,
TCK0000003,CUS0008486,EMP00141,Statement request,Call Center,Low,Closed,2025-12-23T19:28:00,2025-12-31T10:28:00,[ATM dispute] สดชื่นคนตายกีฬานักเรียนวังสม่ำเสมอประพฤติ ,3.0
TCK0000004,CUS0009546,EMP00109,ATM dispute,Call Center,Low,Resolved,2024-10-31T04:49:00,2024-11-09T17:49:00,[PromptPay issue] ร่างเอิดกูเกิลค่อยเมตตา ,3.0
TCK0000005,CUS0003837,EMP00446,Account closure,Call Center,High,Open,2024-12-30T13:35:00,,[Card lost/stolen] ถีบเสรีนิยมสุขภาพวิ่งทดสุขภาพ ,
TCK0000006,CUS0003515,EMP00204,Branch service complaint,Mobile App,High,Closed,2025-05-26T00:13:00,2025-06-03T09:13:00,[Fee inquiry] มลายูหน้ากากโก๋แก่ไต้งมกิน ,4.0
TCK0000007,CUS0008226,EMP00343,Statement request,Email,High,Resolved,2024-12-02T00:03:00,2024-12-10T12:03:00,[Branch service complaint] ห่มผ้าทั่วคมนาคมคบใน ,5.0
TCK0000008,CUS0003651,EMP00213,ATM dispute,Branch,Medium,Closed,2025-05-16T05:37:00,2025-05-17T21:37:00,[Statement request] สดแอนดรอยด์กินหนุน ,1.0
TCK0000009,CUS0003506,EMP00315,Fee inquiry,Call Center,Medium,Resolved,2024-03-05T23:42:00,2024-03-12T12:42:00,[PromptPay issue] อธิษฐานรัฐประหารผู้ร้ายรากสหกรณ์แปรงอวัยวะ ,
TCK0000010,CUS0007473,EMP00361,Branch service complaint,LINE OA,Low,Closed,2025-10-03T01:50:00,2025-10-08T00:50:00,[Card lost/stolen] โควิดร้อนธาตุข้าวย่อนิ่ม ,2.0
TCK0000011,CUS0007313,EMP00132,Loan inquiry,Call Center,High,Closed,2025-05-04T01:28:00,2025-05-05T18:28:00,[Statement request] พ่อคำสั่งหรือลูกชิ้นน้า ,3.0
TCK0000012,CUS0005065,EMP00306,Loan inquiry,Email,High,Escalated,2024-10-16T11:11:00,,[Fee inquiry] ปิ่นโตรถบัสเอสซีบีนิ่ม ,
TCK0000013,CUS0004283,EMP00355,ATM dispute,LINE OA,High,Resolved,2025-07-31T13:19:00,2025-08-10T00:19:00,[Statement request] ทวดตะแกรงระยำโตสีแดงท้องฟ้า ,3.0
TCK0000014,CUS0001743,EMP00077,Statement request,Mobile App,Medium,Resolved,2024-01-10T21:58:00,2024-01-19T01:58:00,[Mobile banking issue] ธาตุคมนาคมแสงตอกเย็นคำถามลงมือ ,1.0
TCK0000015,CUS0002182,EMP00200,Loan inquiry,Branch,Critical,Closed,2025-06-05T08:22:00,2025-06-05T09:22:00,[Account closure] ลูกทดเสียบง่วงอดออนซอนเด๊ใหม่สารวัตร ,
TCK0000016,CUS0002326,EMP00333,Fraud report,LINE OA,Critical,In Progress,2025-01-23T06:56:00,,[Mobile banking issue] คอกทานชิงสหกรณ์กล ,
TCK0000017,CUS0001622,EMP00455,Branch service complaint,Email,Critical,Resolved,2025-11-09T13:46:00,2025-11-14T04:46:00,[Statement request] กินด้ายลูกเนื้ออาหารกล่าวเข้ารหัสกรรมการ ,4.0
TCK0000018,CUS0007523,EMP00110,PromptPay issue,Mobile App,High,In Progress,2025-06-03T06:43:00,,[Mobile banking issue] กะละมังข้าวเจ้าเบียร์ลูกตาตีนพ่อนั่ง ,
TCK0000019,CUS0008946,EMP00345,ATM dispute,LINE OA,Low,In Progress,2024-10-09T10:19:00,,[Account closure] กะเพราเขยิบบันไดแก้วอาสาสีทานคาว ,
TCK0000020,CUS0001629,EMP00174,Loan inquiry,Email,Medium,In Progress,2024-03-13T08:10:00,,[Mobile banking issue] รอนั่งหุ้มหม้อ ,
TCK0000021,CUS0006879,EMP00324,PromptPay issue,Email,Medium,Resolved,2024-07-29T19:20:00,2024-08-01T12:20:00,[Loan inquiry] คอมมิวนิสต์ชิงโต ,5.0
TCK0000022,CUS0001245,EMP00423,Branch service complaint,LINE OA,Medium,Resolved,2024-03-02T12:37:00,2024-03-10T13:37:00,[Branch service complaint] โผล่แต่งบอกใบ้หมัดแข้งร่างสี ,4.0
TCK0000023,CUS0003523,EMP00210,Branch service complaint,Call Center,Medium,Resolved,2024-09-23T15:19:00,2024-09-27T04:19:00,[PromptPay issue] รถบัสตื่นเพดานโน่น ,2.0
TCK0000024,CUS0005087,EMP00081,Loan inquiry,Branch,Low,Resolved,2026-01-17T04:08:00,2026-01-26T17:08:00,[Card lost/stolen] กิจกรรมห้างแก่ชูสลับยัน ,2.0
TCK0000025,CUS0000827,EMP00304,PromptPay issue,Mobile App,Critical,Closed,2026-01-15T22:24:00,2026-01-25T09:24:00,[Account closure] สม่ำเสมอตำลึงสุขภาพฟากเสียบเคเอฟซี ,
TCK0000026,CUS0001421,EMP00418,ATM dispute,Branch,High,Closed,2025-05-02T04:34:00,2025-05-09T19:34:00,[Card lost/stolen] คนตายตั้งแต่โรงสีสีเทาเชื้อโรค ,1.0
TCK0000027,CUS0004085,EMP00123,Fraud report,Call Center,High,Closed,2024-11-17T10:21:00,2024-11-22T20:21:00,[PromptPay issue] ติดทอดขนมชั้นเป็นครูเศษอาหารตอใด ,5.0
TCK0000028,CUS0007954,EMP00423,Fraud report,Mobile App,Low,In Progress,2024-02-08T14:05:00,,[ATM dispute] รถถังอาหารโรงสี ,
TCK0000029,CUS0002569,EMP00091,Statement request,Mobile App,Low,Open,2024-10-14T21:36:00,,[ATM dispute] เชื้อโรคองค์ต้นทอดมันแข่งขันเลี้ยวเมตตาสุดท้าย ,
TCK0000030,CUS0003356,EMP00360,ATM dispute,LINE OA,High,Closed,2026-03-11T20:34:00,2026-03-18T16:34:00,[Loan inquiry] ชาวฤดูดังนี้ของหวานหน้าต่างโก๋แก่ ,3.0
TCK0000031,CUS0008664,EMP00028,Fraud report,Mobile App,Medium,Open,2025-10-12T20:21:00,,[ATM dispute] คอกกามปกครองถึง ,
TCK0000032,CUS0000967,EMP00195,Mobile banking issue,LINE OA,Low,Closed,2024-01-01T05:47:00,2024-01-07T15:47:00,[Fraud report] ท้องฟ้าถางชะนีแซงจะไปพั่งจากกำ ,3.0
TCK0000033,CUS0002129,EMP00226,Fraud report,Mobile App,Medium,Closed,2026-01-16T22:58:00,2026-01-17T07:58:00,[Branch service complaint] มัสยิดเขยิบเดี่ยวอด ,5.0
TCK0000034,CUS0008502,EMP00161,Loan inquiry,Email,High,Closed,2024-10-17T09:14:00,2024-10-18T14:14:00,[Card lost/stolen] กับลงมือเริ่มกรดไหลย้อนกล้า ,2.0
TCK0000035,CUS0004556,EMP00396,Account closure,Call Center,Medium,Resolved,2025-04-30T10:03:00,2025-05-07T03:03:00,[Loan inquiry] ปกครองน้องหน้ากากน้ำเย็นมิตรหมัดหมดเศษ ,3.0
TCK0000036,CUS0004205,EMP00200,Fraud report,Email,High,Closed,2025-12-27T23:22:00,2026-01-04T13:22:00,[Card lost/stolen] หยักทานแมลงตอกชาวนาระยำกิน ,3.0
TCK0000037,CUS0004771,EMP00089,Loan inquiry,Branch,High,Resolved,2024-08-29T12:03:00,2024-09-03T16:03:00,[Loan inquiry] โกงที่บริษัทกูชุมนุมแสงเล่ม ,5.0
TCK0000038,CUS0000296,EMP00229,PromptPay issue,LINE OA,Low,Resolved,2025-04-13T12:41:00,2025-04-14T19:41:00,[Card lost/stolen] ขุดกลกีฬาข้าว ,2.0
TCK0000039,CUS0002814,EMP00031,Fee inquiry,Branch,Critical,Closed,2025-02-28T07:31:00,2025-03-06T22:31:00,[Branch service complaint] หายอายุรู้จักข้าวเจ้ารถโดยสารพิพักพิพ่วนสุขภาพ ,3.0
TCK0000040,CUS0007141,EMP00017,Loan inquiry,Email,Critical,Closed,2024-01-08T13:29:00,2024-01-08T17:29:00,[Card lost/stolen] แผนที่เริ่มเคเอฟซีชู ,2.0
TCK0000041,CUS0008687,EMP00084,PromptPay issue,Mobile App,Low,Closed,2025-05-14T06:09:00,2025-05-23T21:09:00,[PromptPay issue] ผิดสลับโผล่หมด ,4.0
